Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,143,0,4300.0,4522.242068190948,20.11483395472169,9890.233459183946,55.53846153846154,0.799047954066158,0.0,4300,5800,7100,7500,8500,9200,9600,9800,9900,9900,9900
GET,/products?search=[term],465,0,610.0,585.6510342163865,23.57983309775591,1216.3365001324564,303755.3935483871,2.5983027876976466,0.0,610,640,680,700,800,920,1000,1000,1200,1200,1200
GET,/recommendations/[userId],319,0,4100.0,4066.069290217824,1167.9163330700248,6187.032167101279,2616.8150470219434,1.782491589839891,0.0,4100,4400,4600,4700,5100,5500,5900,5900,6200,6200,6200
GET,/users/[id]/dashboard,226,0,75000.0,74421.70801992627,23557.870582910255,102594.41858297214,31218.504424778763,1.2628310323003615,0.0,75000,78000,80000,81000,86000,88000,91000,92000,103000,103000,103000
,Aggregated,1153,0,3300.0,16509.445327619043,20.11483395472169,102594.41858297214,129353.29228100607,6.442673363904057,0.0,3300,4500,5700,9400,75000,80000,84000,88000,94000,103000,103000
