Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,567,0,57,284.1896788710712,3.4058329183608294,5492.153333034366,55.27336860670194,3.1536164419850503,0.0,57,100,240,400,850,1300,1900,2600,5500,5500,5500
GET,/products?search=[term],1763,0,82,110.89260968875185,7.908666972070932,1936.1715000122786,290460.54282473057,9.805689219082264,0.0,82,110,130,150,200,260,420,610,1600,1900,1900
GET,/recommendations/[userId],1100,0,3400.0,3473.749652302993,627.8531248681247,8076.278958003968,2604.63,6.1181271361261995,0.0,3400,3800,4000,4200,4700,5200,6200,7000,7700,8100,8100
GET,/users/[id]/dashboard,1114,0,3600.0,3745.3247850114576,202.88016693666577,9913.647916167974,4891.704667863555,6.195994208767806,0.0,3600,4300,4700,5000,5900,6600,7800,8600,9400,9900,9900
,Aggregated,4544,0,720.0,1837.6002743919946,3.4058329183608294,9913.647916167974,114530.75022007042,25.27342700596132,0.0,720,2900,3400,3700,4600,5300,6300,7100,9100,9900,9900
