Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,402,0,10000.0,10446.183270940428,33.2682088483125,22128.626708174124,56.0771144278607,2.247217665562066,0.0,10000,13000,15000,16000,17000,19000,20000,22000,22000,22000,22000
GET,/products?search=[term],1177,0,1100.0,1148.4488933905009,32.246666960418224,2413.696208037436,285429.05692438403,6.579540279518786,0.0,1100,1200,1300,1300,1600,1800,2000,2200,2400,2400,2400
GET,/recommendations/[userId],778,0,4800.0,4854.502970529936,1021.3756670709699,8241.662207990885,2622.2737789203084,4.349092895043004,0.0,4800,5200,5500,5700,6200,6500,7100,7800,8200,8200,8200
GET,/users/[id]/dashboard,639,0,38000.0,38174.05126897212,5295.311082853004,64219.7618749924,9686.039123630673,3.572069871378508,0.0,38000,41000,42000,43000,46000,50000,54000,56000,64000,64000,64000
,Aggregated,2996,0,4400.0,11255.377868619566,32.246666960418224,64219.7618749924,114887.19993324432,16.747920711502363,0.0,4400,6200,14000,29000,39000,43000,46000,50000,58000,64000,64000
