Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,465,0,3800.0,3885.3010536091383,23.60800001770258,9364.88537513651,55.78064516129032,2.5904775950906567,0.0,3800,4900,5400,5700,6500,6900,7700,8100,9400,9400,9400
GET,/products?search=[term],1325,0,450.0,476.06635560615445,17.484291922301054,1389.354582875967,285278.3290566038,7.381468416118539,0.0,450,510,550,580,690,820,990,1000,1200,1400,1400
GET,/recommendations/[userId],894,0,4200.0,4249.0890154639,1080.4552920162678,6795.223250053823,2606.721476510067,4.980402086045263,0.0,4200,4600,4900,5000,5400,5800,6100,6400,6800,6800,6800
GET,/users/[id]/dashboard,872,0,14000.0,14073.403879450345,861.967874923721,24926.76708404906,7097.233944954129,4.857841855739898,0.0,14000,16000,17000,17000,18000,20000,21000,22000,25000,25000,25000
,Aggregated,3556,0,3600.0,5204.765656302554,17.484291922301054,24926.76708404906,108700.48397075366,19.810189952994357,0.0,3600,5000,6700,11000,15000,17000,19000,20000,23000,25000,25000
