Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,607,0,74,250.15605416085995,4.0854159742593765,2690.8126671332866,55.73146622734761,3.379091464882317,0.0,74,170,300,370,700,1100,1600,2100,2700,2700,2700
GET,/products?search=[term],1660,0,87,109.75249806217042,8.327667135745287,786.3311250694096,292904.6325301205,9.241007959974706,0.0,87,120,140,160,220,270,330,390,740,790,790
GET,/recommendations/[userId],1125,0,3800.0,3772.7158678981164,609.7504168283194,6344.548875000328,2603.4995555555556,6.262731298175629,0.0,3800,4100,4300,4500,4800,5100,5400,5700,6200,6300,6300
GET,/users/[id]/dashboard,1092,0,3500.0,3569.0301245416604,85.90512513183057,9620.988792041317,4483.619963369963,6.079024513429144,0.0,3500,4100,4400,4600,5200,5900,6600,7100,9200,9600,9600
,Aggregated,4484,0,780.0,1890.2141211069845,4.0854159742593765,9620.988792041317,110187.45963425512,24.961855236461794,0.0,790,3200,3700,3900,4500,4900,5600,6100,7800,9600,9600
