Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,311,0,16000.0,15566.403998138378,4.821083974093199,35193.49129195325,54.67524115755627,1.7321602486505447,0.0,16000,20000,22000,23000,26000,28000,32000,34000,35000,35000,35000
GET,/products?search=[term],1052,0,1700.0,1877.980885674651,39.99841585755348,5158.467750065029,287882.9819391635,5.8592687510622925,0.0,1700,1800,1900,2100,2700,4200,4500,4600,5000,5200,5200
GET,/recommendations/[userId],667,0,5800.0,6111.337958580592,2071.7609578277916,11241.28287495114,2623.4047976011993,3.71495461688075,0.0,5800,6400,6700,7000,8400,9400,10000,10000,11000,11000,11000
GET,/users/[id]/dashboard,483,0,60000.0,60270.44654353981,29507.372375112027,93270.20149980672,10469.501035196687,2.690139550155026,0.0,60000,64000,66000,68000,73000,77000,84000,88000,93000,93000,93000
,Aggregated,2513,0,5200.0,15918.693049762715,4.821083974093199,93270.20149980672,123229.79745324314,13.996523166748613,0.0,5200,7100,16000,27000,59000,66000,73000,77000,89000,93000,93000
