Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,391,0,10000.0,10215.847183803759,78.96470790728927,23127.906791865826,55.56010230179028,2.1748285116359765,0.0,10000,13000,14000,15000,16000,18000,20000,22000,23000,23000,23000
GET,/products?search=[term],1351,0,1100.0,1145.4118137588403,38.57804089784622,3345.7524580881,277110.01554404147,7.514560918721751,0.0,1100,1200,1300,1300,1500,2200,2800,3000,3300,3300,3300
GET,/recommendations/[userId],838,0,4600.0,4774.866255722342,1641.5819169487804,9400.482916971669,2622.5011933174223,4.66114141368529,0.0,4600,5000,5200,5400,6200,7200,8000,8600,9400,9400,9400
GET,/users/[id]/dashboard,688,0,36000.0,35593.02616985464,7040.873874910176,58188.76270810142,9315.264534883721,3.8268082250781377,0.0,36000,38000,40000,41000,44000,47000,50000,56000,58000,58000,58000
,Aggregated,3268,0,4100.0,10413.460078461085,38.57804089784622,58188.76270810142,117198.25979192166,18.177339069121153,0.0,4100,5900,13000,25000,36000,40000,45000,47000,58000,58000,58000
