Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,642,0,46,108.99981177329286,3.62166715785861,1669.741541845724,55.40809968847352,3.5747808433408057,0.0,47,71,90,110,250,440,820,1100,1700,1700,1700
GET,/products?search=[term],1910,0,70,85.97377955204081,7.83904199488461,486.1513751093298,271785.1015706806,10.635251418661898,0.0,70,94,110,120,160,200,260,300,460,490,490
GET,/recommendations/[userId],1169,0,3500.0,3409.098237532831,621.8715419527143,5773.035249905661,2603.8323353293413,6.509219323777884,0.0,3500,3700,3900,4100,4400,4600,4900,5100,5600,5800,5800
GET,/users/[id]/dashboard,1219,0,2700.0,2820.479052569152,128.44083388336003,7093.998541822657,4027.977850697293,6.787629046779505,0.0,2700,3200,3500,3700,4200,4800,5200,5700,6500,7100,7100
,Aggregated,4940,0,270.0,1550.1189479474751,3.62166715785861,7093.998541822657,106700.22287449392,27.506880632560094,0.0,270,2600,3100,3400,3900,4300,4800,5000,5900,7100,7100
