Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,409,0,9800.0,9917.67818876656,24.811166105791926,20925.921208923683,55.23471882640587,2.2779622426467823,0.0,9800,12000,14000,15000,17000,18000,19000,20000,21000,21000,21000
GET,/products?search=[term],1297,0,1100.0,1105.5535661705046,26.80254098959267,2376.430792035535,286238.95528141863,7.223758016412901,0.0,1100,1200,1200,1300,1500,1700,1900,2100,2300,2400,2400
GET,/recommendations/[userId],818,0,4700.0,4671.9446691589355,1086.9255000725389,7109.431000193581,2622.952322738386,4.5559244852935645,0.0,4700,5100,5300,5400,5900,6300,6600,6700,7100,7100,7100
GET,/users/[id]/dashboard,668,0,36000.0,36447.01231624631,1626.8604160286486,57597.9785840027,9562.86377245509,3.7204860099952337,0.0,37000,39000,41000,42000,45000,47000,51000,52000,58000,58000,58000
,Aggregated,3192,0,4200.0,10544.63919835627,24.811166105791926,57597.9785840027,118987.49498746867,17.77813075434848,0.0,4200,5700,12000,26000,37000,41000,45000,48000,54000,58000,58000
