Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769477852,20,,Aggregated,5.000000,0.000000,72,250,410,540,600,670,710,710,710,710,710,33,0,72,214.01076140164426,6.998042110353708,711.6797920316458,121303.12121212122
1769477853,25,,Aggregated,5.000000,0.000000,72,320,480,540,600,650,710,710,710,710,710,43,0,72,227.8665552500549,6.998042110353708,711.6797920316458,93755.62790697675
1769477854,30,,Aggregated,6.500000,0.000000,72,420,580,600,650,720,770,780,780,780,780,62,0,63,258.28381728441,6.998042110353708,781.5227922983468,116986.2258064516
1769477855,35,,Aggregated,7.200000,0.000000,67,480,590,600,710,770,800,820,820,820,820,76,0,63,270.1922401810359,6.998042110353708,818.9167501404881,132392.26315789475
1769477856,40,,Aggregated,8.333333,0.000000,63,490,600,610,730,780,820,820,820,820,820,97,0,63,278.5344390083373,5.668040830641985,818.9167501404881,120463.11340206186
1769477857,45,,Aggregated,9.428571,0.000000,60,440,600,610,740,790,820,820,860,860,860,116,0,57,272.0880948151622,5.668040830641985,863.24254097417,121351.78448275862
1769477858,50,,Aggregated,10.625000,0.000000,60,540,610,670,790,860,910,1000,1100,1100,1100,137,0,60,300.8938506891421,5.668040830641985,1055.5118340998888,117659.74452554744
1769477859,50,,Aggregated,11.888889,0.000000,61,580,650,720,850,980,1100,1100,1100,1100,1100,159,0,61,323.02033885985423,5.668040830641985,1107.767874840647,111591.24528301887
1769477860,50,,Aggregated,12.700000,0.000000,63,590,700,770,900,1000,1100,1200,1300,1300,1300,181,0,63,345.07050785848367,5.668040830641985,1290.1434171944857,111437.57458563536
1769477861,50,,Aggregated,14.400000,0.000000,72,600,720,780,900,1100,1200,1400,1700,1700,1700,197,0,72,361.8830979617341,5.668040830641985,1663.4311247617006,112683.89340101523
1769477862,50,,Aggregated,15.700000,0.000000,77,610,770,820,970,1100,1200,1300,1700,1700,1700,216,0,76,380.02171164326785,5.668040830641985,1663.4311247617006,115893.37037037036
1769477863,50,,Aggregated,17.100000,0.000000,76,610,770,820,970,1100,1200,1300,1700,1700,1700,237,0,76,381.35899140063344,5.668040830641985,1663.4311247617006,117469.39662447257
1769477864,50,,Aggregated,18.100000,0.000000,73,620,790,850,980,1100,1200,1300,1700,1700,1700,262,0,72,387.49020023250114,5.668040830641985,1663.4311247617006,116934.85496183205
1769477865,50,,Aggregated,18.800000,0.000000,76,670,810,900,1000,1200,1300,1400,1700,1700,1700,281,0,76,407.2728638895174,5.668040830641985,1663.4311247617006,112050.08540925267
1769477866,50,,Aggregated,19.400000,0.000000,72,650,800,860,1000,1100,1300,1300,1700,1700,1700,308,0,71,398.29904155340046,5.668040830641985,1663.4311247617006,108835.37662337662
1769477867,50,,Aggregated,20.200000,0.000000,72,670,790,860,1000,1100,1300,1300,1700,1700,1700,325,0,72,398.38997105136514,5.668040830641985,1663.4311247617006,106874.47384615385
1769477868,50,,Aggregated,20.400000,0.000000,72,670,770,850,1000,1100,1300,1300,1700,1700,1700,349,0,72,394.3589199054186,5.668040830641985,1663.4311247617006,109848.63610315186
1769477869,50,,Aggregated,20.600000,0.000000,71,670,780,820,980,1100,1200,1300,1700,1700,1700,371,0,71,390.8335967165119,5.668040830641985,1663.4311247617006,109818.48787061995
1769477870,50,,Aggregated,20.800000,0.000000,71,670,780,820,980,1100,1200,1300,1700,1700,1700,391,0,71,389.6882815686676,5.668040830641985,1663.4311247617006,117476.20460358057
1769477871,50,,Aggregated,21.200000,0.000000,71,670,780,840,980,1100,1200,1300,1700,1700,1700,410,0,71,389.4155426075818,5.668040830641985,1663.4311247617006,121792.72195121952
1769477872,50,,Aggregated,21.100000,0.000000,76,700,810,860,1000,1200,1300,1400,1700,1700,1700,427,0,76,407.8083808819569,5.668040830641985,1663.4311247617006,117077.8992974239
1769477873,50,,Aggregated,21.200000,0.000000,77,710,820,880,1000,1200,1400,1500,1700,1700,1700,449,0,77,421.14631238627874,5.668040830641985,1740.8302500844002,113248.10022271716
1769477874,50,,Aggregated,21.000000,0.000000,72,700,810,870,1000,1200,1300,1500,1700,1700,1700,473,0,72,414.5567604206723,5.403624847531319,1740.8302500844002,109240.71247357294
1769477875,50,,Aggregated,21.300000,0.000000,71,700,800,860,1000,1200,1300,1500,1700,1700,1700,491,0,71,410.2969800829584,5.403624847531319,1740.8302500844002,107694.40122199593
1769477876,50,,Aggregated,21.600000,0.000000,76,710,810,870,1000,1200,1300,1500,1700,1700,1700,510,0,73,419.1390526462712,4.7967080026865005,1740.8302500844002,106915.35098039216
1769477877,50,,Aggregated,20.900000,0.000000,77,720,820,870,1000,1200,1300,1500,1700,1700,1700,528,0,77,421.7941348924245,4.7967080026865005,1740.8302500844002,107088.13825757576
1769477878,50,,Aggregated,21.000000,0.000000,81,720,820,890,1100,1200,1300,1500,1700,1700,1700,552,0,80,428.89144870054406,4.7967080026865005,1740.8302500844002,106117.94746376811
1769477879,50,,Aggregated,20.100000,0.000000,77,720,820,890,1000,1200,1300,1500,1700,1700,1700,574,0,77,426.6827122830763,4.7967080026865005,1740.8302500844002,108352.88327526132
1769477880,50,,Aggregated,20.000000,0.000000,77,730,820,880,1000,1200,1300,1500,1700,1700,1700,590,0,77,427.078538871828,4.7967080026865005,1740.8302500844002,108184.19322033899
1769477881,50,,Aggregated,19.700000,0.000000,73,730,820,880,1000,1200,1300,1400,1700,1700,1700,611,0,73,424.1193918086003,4.7967080026865005,1740.8302500844002,111025.77414075287
1769477882,50,,Aggregated,20.000000,0.000000,76,720,820,880,1000,1200,1300,1400,1700,1700,1700,634,0,73,422.36828637362254,4.7967080026865005,1740.8302500844002,114589.45899053628
1769477883,50,,Aggregated,19.900000,0.000000,80,730,830,880,1000,1200,1300,1400,1700,1700,1700,652,0,77,426.9096725756028,4.7967080026865005,1740.8302500844002,113320.25613496933
1769477884,50,,Aggregated,20.300000,0.000000,85,750,840,900,1000,1200,1300,1500,1700,1700,1700,671,0,85,431.84751263318583,4.7967080026865005,1740.8302500844002,114905.7257824143
1769477885,50,,Aggregated,20.100000,0.000000,80,750,840,900,1000,1200,1300,1500,1700,1700,1700,695,0,80,429.84742736376876,4.7967080026865005,1740.8302500844002,118428.61582733813
1769477886,50,,Aggregated,19.500000,0.000000,78,730,840,890,1000,1200,1300,1400,1700,1700,1700,713,0,78,427.26050995794475,4.7967080026865005,1740.8302500844002,117690.8793828892
1769477887,50,,Aggregated,20.200000,0.000000,80,740,840,890,1000,1200,1300,1400,1700,1700,1700,733,0,80,427.88640401703475,4.7967080026865005,1740.8302500844002,117258.69986357435
1769477888,50,,Aggregated,20.200000,0.000000,80,750,840,880,1000,1200,1300,1400,1700,1700,1700,750,0,78,427.0565688032657,4.7967080026865005,1740.8302500844002,115694.77333333333
1769477889,50,,Aggregated,20.400000,0.000000,80,750,840,890,1000,1200,1300,1400,1700,1700,1700,773,0,80,428.9381746654513,4.7967080026865005,1740.8302500844002,113865.57050452782
1769477890,50,,Aggregated,20.500000,0.000000,77,750,840,890,1000,1200,1300,1400,1700,1700,1700,798,0,76,425.8924100529356,4.7967080026865005,1740.8302500844002,117313.50877192983
1769477891,50,,Aggregated,20.200000,0.000000,76,740,830,880,1000,1200,1300,1400,1700,1700,1700,818,0,74,423.31764986909343,4.7967080026865005,1740.8302500844002,118363.77872860635
1769477892,50,,Aggregated,20.300000,0.000000,73,730,830,870,1000,1200,1300,1400,1700,1700,1700,840,0,72,418.52815358821925,4.7967080026865005,1740.8302500844002,120027.94642857143
1769477893,50,,Aggregated,20.600000,0.000000,76,740,830,870,1000,1200,1300,1400,1700,1700,1700,860,0,74,420.9500102856911,4.7967080026865005,1740.8302500844002,118202.87558139535
1769477894,50,,Aggregated,20.200000,0.000000,72,730,820,870,1000,1200,1300,1400,1700,1700,1700,883,0,72,415.3596554056974,2.6360838674008846,1740.8302500844002,123220.52661381653
1769477895,50,,Aggregated,20.700000,0.000000,73,730,820,870,1000,1200,1300,1400,1700,1700,1700,900,0,72,416.757928255635,2.6360838674008846,1740.8302500844002,120923.67888888888
1769477896,50,,Aggregated,21.100000,0.000000,73,730,830,870,1000,1100,1300,1400,1700,1700,1700,921,0,73,417.9711350554299,2.6360838674008846,1740.8302500844002,120352.67535287731
1769477897,50,,Aggregated,20.700000,0.000000,72,730,820,870,1000,1100,1300,1400,1700,1700,1700,938,0,71,414.79464917819,2.6360838674008846,1740.8302500844002,119043.54157782516
1769477898,50,,Aggregated,20.200000,0.000000,72,730,820,870,1000,1100,1300,1400,1700,1700,1700,952,0,72,415.6401214227002,2.6360838674008846,1740.8302500844002,119404.63760504202
