Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,428,0,7300.0,7178.835984622455,33.657957799732685,14024.252834031358,55.31542056074766,2.3853308633423147,0.0,7300,9200,10000,10000,12000,12000,13000,13000,14000,14000,14000
GET,/products?search=[term],1350,0,810.0,807.3402766310783,43.20862493477762,1537.3097090050578,264991.6488888889,7.523823984841413,0.0,810,880,940,980,1000,1100,1200,1300,1500,1500,1500
GET,/recommendations/[userId],904,0,4700.0,4634.76660851553,995.9842080716044,7330.689625116065,2610.8219026548672,5.038175468367879,0.0,4700,5000,5200,5400,5800,6000,6300,6400,7300,7300,7300
GET,/users/[id]/dashboard,831,0,22000.0,21755.066019949678,969.3833750206977,35784.55904102884,7214.646209386282,4.631331652891269,0.0,22000,24000,25000,26000,28000,29000,31000,32000,36000,36000,36000
,Aggregated,3513,0,4300.0,7523.694862381584,33.657957799732685,35784.55904102884,104218.03444349559,19.578661969442877,0.0,4300,5700,11000,17000,23000,26000,28000,30000,33000,36000,36000
