Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,451,0,6600.0,6817.762176243448,7.869082968682051,14458.925209008157,54.96008869179601,2.511113947712854,0.0,6600,9000,9700,10000,11000,12000,13000,14000,14000,14000,14000
GET,/products?search=[term],1448,0,760.0,760.5346348175254,19.042791100218892,1428.479874972254,287596.17541436467,8.0622904574018,0.0,760,830,900,940,1100,1200,1300,1300,1400,1400,1400
GET,/recommendations/[userId],959,0,4500.0,4449.122200659802,1163.2602498866618,7303.500415990129,2612.11157455683,5.339597063983652,0.0,4500,4800,5100,5300,5600,6000,6400,6700,7300,7300,7300
GET,/users/[id]/dashboard,838,0,22000.0,21319.215974827148,1917.7419999614358,36052.84541612491,7421.040572792363,4.665883565816788,0.0,22000,23000,24000,25000,27000,29000,32000,33000,36000,36000,36000
,Aggregated,3696,0,4000.0,7118.040062240117,7.869082968682051,36052.84541612491,115040.01515151515,20.578885034915093,0.0,4000,5300,10000,16000,22000,25000,28000,30000,34000,36000,36000
