Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,479,0,10,17.635945107258998,2.784250071272254,194.47412504814565,55.58455114822547,2.6675557139880524,0.0,10,14,19,24,41,56,81,140,190,190,190
GET,/products?search=[term],1466,0,20,30.382040746879763,6.4178339671343565,320.90304186567664,283140.84106412006,8.164168427362181,0.0,20,30,37,43,66,92,120,160,260,320,320
GET,/recommendations/[userId],942,0,720.0,792.5891173848262,512.7818339969963,2430.585749913007,2594.7091295116775,5.246007270515126,0.0,720,810,890,940,1100,1200,1500,1900,2400,2400,2400
GET,/users/[id]/dashboard,959,0,280.0,329.99687248353416,55.6852500885725,1804.8479170538485,2657.1293013555787,5.340680437817416,0.0,280,340,400,440,600,740,880,1200,1800,1800,1800
,Aggregated,3846,0,110.0,290.1907536998227,2.784250071272254,2430.585749913007,109231.27951118044,21.418411849682776,0.0,110,320,580,630,790,960,1200,1300,2200,2400,2400
