Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,461,0,3700.0,3696.448002240384,6.381874904036522,9656.32149996236,55.71583514099783,2.567124555220572,0.0,3700,4600,5100,5400,6400,7200,8100,8500,9700,9700,9700
GET,/products?search=[term],1455,0,430.0,439.4815654612284,8.302166126668453,1117.5590001512319,258317.32852233676,8.102312858667966,0.0,430,490,530,550,620,670,760,880,1100,1100,1100
GET,/recommendations/[userId],969,0,4100.0,4074.1101609839952,682.0699581876397,7026.353416964412,2608.050567595459,5.3959733058757795,0.0,4100,4400,4600,4700,5100,5500,5800,6100,7000,7000,7000
GET,/users/[id]/dashboard,902,0,13000.0,12940.028514133553,454.8184999730438,24322.94883299619,6599.017738359202,5.022877112383853,0.0,13000,14000,15000,16000,17000,18000,20000,21000,24000,24000,24000
,Aggregated,3787,0,3500.0,4743.392308561081,6.381874904036522,24322.94883299619,101493.77158700819,21.08828783214817,0.0,3500,4600,6100,10000,14000,15000,17000,19000,23000,24000,24000
