Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,492,0,8,15.417803789212604,2.6000840589404106,283.8670420460403,55.34756097560975,2.7398642743512767,0.0,8,11,15,19,29,51,79,170,280,280,280
GET,/products?search=[term],1525,0,17,24.985888329044474,5.866749910637736,265.94533305615187,270845.0537704918,8.492465484523773,0.0,17,26,31,34,50,71,100,120,180,270,270
GET,/recommendations/[userId],930,0,650.0,713.3380847600018,510.2641670964658,1807.1618750691414,2593.951612903226,5.179011738103022,0.0,650,720,770,810,940,1100,1300,1400,1800,1800,1800
GET,/users/[id]/dashboard,1002,0,180.0,223.75572567987822,42.9325420409441,918.2365420274436,2102.083832335329,5.579967485569063,0.0,180,230,280,310,400,480,640,700,900,920,920
,Aggregated,3949,0,73,236.33747660778047,2.6000840589404106,1807.1618750691414,105744.39123828817,21.991308982547135,0.0,73,210,470,580,690,810,960,1100,1600,1800,1800
