Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,379,0,8100.0,7909.982082131134,6.4235839527100325,19429.819375043735,55.32717678100264,2.1095757480053634,0.0,8100,10000,11000,11000,13000,15000,17000,19000,19000,19000,19000
GET,/products?search=[term],1310,0,850.0,873.0341072389784,25.607290910556912,1965.6932088546455,296063.87328244274,7.2916734297810715,0.0,850,960,1000,1100,1300,1400,1600,1700,1900,2000,2000
GET,/recommendations/[userId],863,0,4900.0,4890.39926988322,1153.4548341296613,9031.196792144328,2616.0869061413673,4.803598602977912,0.0,4900,5300,5600,5800,6300,6700,7300,7500,9000,9000,9000
GET,/users/[id]/dashboard,742,0,25000.0,24865.16874135006,1923.4332079067826,43792.34220809303,7678.421832884097,4.130092889234775,0.0,25000,27000,29000,30000,32000,35000,37000,39000,44000,44000,44000
,Aggregated,3294,0,4300.0,8139.6258851249995,6.4235839527100325,43792.34220809303,120163.84790528234,18.33494066999912,0.0,4300,5900,11000,18000,26000,29000,33000,35000,41000,44000,44000
