Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,929,0,170.0,910.6748942310838,3.94333410076797,5277.870874851942,55.42626480086114,5.190529563377552,0.0,170,640,1400,2000,3200,4000,4800,5100,5300,5300,5300
GET,/products?search=[term],2687,0,120.0,302.5097643486375,6.927083013579249,2140.6474579125643,294249.0089318943,15.012866455108163,0.0,120,210,360,530,960,1200,1400,1600,2000,2100,2100
GET,/recommendations/[userId],1742,0,4500.0,4446.985586005852,702.352249994874,10063.642207998782,2620.150401836969,9.732941334126691,0.0,4500,5500,6000,6300,7000,7500,8000,8300,10000,10000,10000
GET,/users/[id]/dashboard,1730,0,320.0,1428.3058293982049,9.619457880035043,6348.887583008036,33883.35144508671,9.665894665923751,0.0,320,1600,2600,3200,4400,5200,5700,5900,6300,6300,6300
,Aggregated,7088,0,410.0,1675.5754358389609,3.94333410076797,10063.642207998782,120468.5493792325,39.60223201853616,0.0,410,1700,3000,3700,5300,6300,7100,7600,8900,10000,10000
