Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,869,0,180.0,977.4400184067101,4.023458808660507,6047.926333965734,55.33256616800921,4.856200527463679,0.0,180,770,1600,2200,3200,4100,4900,5400,6000,6000,6000
GET,/products?search=[term],2688,0,110.0,277.4867422915469,7.13775004260242,2256.0544998850673,267294.140625,15.021250883570044,0.0,110,200,370,490,840,1100,1400,1500,1900,2300,2300
GET,/recommendations/[userId],1765,0,4400.0,4418.655571989088,636.3032499793917,10762.712792027742,2617.7376770538244,9.863284155320361,0.0,4400,5300,5900,6200,7000,7600,8200,8500,9700,11000,11000
GET,/users/[id]/dashboard,1744,0,260.0,1378.9864071033928,10.939957806840539,7862.017249921337,34427.206995412846,9.74593063279247,0.0,260,1300,2500,3000,4300,5300,6600,7100,7800,7900,7900
,Aggregated,7066,0,380.0,1669.8498609997403,4.023458808660507,10762.712792027742,110840.09198981036,39.486666199146555,0.0,390,1700,2900,3700,5300,6400,7300,7800,9000,11000,11000
