Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,891,0,180.0,959.4518021107092,3.1677500810474157,6472.113958094269,55.56677890011223,4.978647496838262,0.0,180,640,1700,2100,3100,4200,4800,5300,6500,6500,6500
GET,/products?search=[term],2702,0,120.0,285.88109003763566,7.58104189299047,1735.8107501640916,280846.43116210215,15.097986011736232,0.0,120,240,430,540,820,1100,1200,1300,1700,1700,1700
GET,/recommendations/[userId],1749,0,4500.0,4477.956379577278,679.6611249446869,9764.549207873642,2618.017724413951,9.772900641941773,0.0,4500,5400,5900,6300,7000,7500,8300,8600,9500,9800,9800
GET,/users/[id]/dashboard,1743,0,280.0,1380.2905533400246,9.733290877193213,8083.107916871086,34551.55249569708,9.739374396171819,0.0,280,1400,2500,3000,4200,5400,6700,7100,8000,8100,8100
,Aggregated,7085,0,430.0,1674.68093201336,3.1677500810474157,9764.549207873642,116259.53930839803,39.58890854668808,0.0,430,1600,3000,3700,5400,6400,7300,7800,8900,9800,9800
