Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,517,0,4,5.02549832447196,1.6312501393258572,59.36045804992318,55.73114119922631,2.8747922888143203,0.0,4,5,6,6,7,10,16,24,59,59,59
GET,/products?search=[term],1547,0,300.0,308.3040257480896,276.53904096223414,537.3112082015723,2314.8998060762765,8.602134759759679,0.0,300,310,310,320,340,370,400,420,530,540,540
GET,/recommendations/[userId],974,0,540.0,311.87320017978715,0.9855001699179411,919.6349999401718,2631.2854209445586,5.415952977379397,0.0,540,570,590,600,650,690,740,790,920,920,920
GET,/users/[id]/dashboard,966,0,4,5.899884708863962,2.7078341227024794,39.45279191248119,22467.14078674948,5.371468764012831,0.0,5,6,7,7,9,11,19,28,39,39,39
,Aggregated,4004,0,280.0,197.055018998482,0.9855001699179411,919.6349999401718,6962.061188811189,22.264348789966224,0.0,280,290,310,320,560,600,660,700,860,920,920
