Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,947,0,2400.0,2320.6559092169305,3.7648750003427267,4233.478249981999,55.464625131995774,5.276182019864459,0.0,2400,2600,2700,2800,3000,3100,3800,3900,4200,4200,4200
GET,/products?search=[term],2653,0,6800.0,6614.164709260709,342.2270000446588,11014.871792169288,2315.2231436110064,14.781109713516798,0.0,6800,7200,7500,7600,8100,8600,9200,9800,11000,11000,11000
GET,/recommendations/[userId],1773,0,17,2943.407966146005,1.6272917855530977,11111.222625011578,2605.3536379018615,9.87821617869027,0.0,17,4800,6600,7400,8600,9300,9900,10000,11000,11000,11000
GET,/users/[id]/dashboard,1767,0,2400.0,2351.614826137751,7.4012919794768095,4239.9919158779085,50479.41709111488,9.844787359134633,0.0,2400,2600,2700,2800,3000,3100,3800,4000,4200,4200,4200
,Aggregated,7140,0,3000.0,4078.2921346581775,1.6272917855530977,11111.222625011578,14007.1756302521,39.78029527120616,0.0,3000,6100,6700,7100,7800,8500,9200,9800,11000,11000,11000
