Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,1041,0,160.0,216.20922334430477,3.1047919765114784,1093.3883329853415,55.487031700288185,5.791807714514029,0.0,160,270,340,390,510,610,800,890,990,1100,1100
GET,/products?search=[term],3007,0,2200.0,2151.10300112267,280.03708296455443,5169.553542044014,2315.792816760891,16.730034387650033,0.0,2200,2500,2800,2900,3300,3600,4000,4200,4800,5200,5200
GET,/recommendations/[userId],1922,0,11,1615.0539138014685,1.2481668964028358,8367.636417038739,2612.566597294485,10.693424041590744,0.0,11,1800,3500,4200,5300,5900,6500,6800,8400,8400,8400
GET,/users/[id]/dashboard,2049,0,170.0,218.61591125000314,4.305040929466486,1096.4396249037236,33803.99609565642,11.40001345536911,0.0,170,280,350,380,510,640,800,870,1000,1100,1100
,Aggregated,8019,0,520.0,1277.6553373681218,1.2481668964028358,8367.636417038739,10139.305649083426,44.615279599123916,0.0,520,1700,2300,2500,3300,4200,5500,6100,7200,8400,8400
