Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,490,0,4,5.159774627441502,2.1482089068740606,40.91741610318422,55.416326530612245,2.726807547792146,0.0,4,5,6,6,7,9,16,33,41,41,41
GET,/products?search=[term],1502,0,300.0,307.1406175267415,278.4926248714328,519.2127500195056,2314.138482023968,8.358499870987352,0.0,300,310,310,320,340,360,390,410,500,520,520
GET,/recommendations/[userId],991,0,530.0,304.69897067654546,1.167041016742587,885.5403340421617,2635.1039354187687,5.514829142575543,0.0,530,570,590,600,640,690,760,800,890,890,890
GET,/users/[id]/dashboard,994,0,5,5.945751841003881,2.686999971047044,76.08637493103743,23419.715291750505,5.531523882664067,0.0,5,5,7,7,9,11,17,29,76,76,76
,Aggregated,3977,0,280.0,194.04582709656185,1.167041016742587,885.5403340421617,7390.8913754086,22.131660444019108,0.0,280,290,310,320,560,600,660,700,840,890,890
