timestamp,method,path,duration
1769480358719,GET,/users/809/dashboard,48
1769480359049,GET,/products,382
1769480359436,GET,/recommendations/539,766
1769480359462,GET,/recommendations/551,792
1769480359479,GET,/recommendations/347,815
1769480359678,GET,/users/815/dashboard,14
1769480360031,GET,/products,369
1769480360032,GET,/products,371
1769480360041,GET,/products,381
1769480360384,GET,/recommendations/918,719
1769480360670,GET,/users/410/dashboard,11
1769480360678,GET,/users/86/dashboard,17
1769480360683,GET,/users/26/dashboard,20
1769480360834,GET,/users/220/dashboard,4
1769480361259,GET,/recommendations/876,595
1769480361277,GET,/recommendations/351,619
1769480361397,GET,/products,291
1769480361456,GET,/recommendations/690,585
1769480361505,GET,/products,284
1769480361894,GET,/users/978/dashboard,13
1769480361969,GET,/products,311
1769480361970,GET,/products,311
1769480361970,GET,/products,310
1769480362192,GET,/products,292
1769480362229,GET,/recommendations/499,571
1769480362235,GET,/recommendations/649,575
1769480362252,GET,/users/917/dashboard,3
1769480362385,GET,/users/1000/dashboard,2
1769480362662,GET,/users/550/dashboard,5
1769480362664,GET,/products,289
1769480362680,GET,/users/783/dashboard,22
1769480362712,GET,/users/938/dashboard,3
1769480362801,GET,/users/135/dashboard,4
1769480362943,GET,/products,300
1769480362959,GET,/products,302
1769480362973,GET,/products,315
1769480362980,GET,/products,322
1769480363064,GET,/users/657/dashboard,4
1769480363122,GET,/recommendations/795,580
1769480363144,GET,/users/623/dashboard,3
1769480363176,GET,/products,298
1769480363183,GET,/recommendations/951,596
1769480363237,GET,/products,291
1769480363357,GET,/users/804/dashboard,3
1769480363627,GET,/products,278
1769480363662,GET,/users/602/dashboard,2
1769480363952,GET,/products,292
1769480363952,GET,/products,292
1769480363953,GET,/products,293
1769480364166,GET,/products,304
1769480364186,GET,/users/980/dashboard,7
1769480364214,GET,/products,302
1769480364227,GET,/recommendations/609,567
1769480364295,GET,/products,296
1769480364297,GET,/users/548/dashboard,1
1769480364329,GET,/recommendations/323,549
1769480364415,GET,/products,294
1769480364448,GET,/users/234/dashboard,2
1769480364541,GET,/recommendations/306,560
1769480364555,GET,/users/201/dashboard,2
1769480364572,GET,/products,286
1769480364573,GET,/products,287
1769480364684,POST,/checkout,4
1769480364684,POST,/checkout,4
1769480364948,GET,/products,303
1769480364971,GET,/products,300
1769480364971,GET,/products,300
1769480365192,GET,/products,291
1769480365285,GET,/recommendations/17,614
1769480365354,GET,/products,289
1769480365383,GET,/users/93/dashboard,2
1769480365451,GET,/products,289
1769480365546,GET,/products,290
1769480365564,POST,/checkout,3
1769480365582,GET,/users/367/dashboard,2
1769480365668,POST,/checkout,4
1769480365747,GET,/products,295
1769480365999,GET,/users/328/dashboard,21
1769480366008,GET,/products,344
1769480366010,GET,/products,346
1769480366023,GET,/recommendations/283,642
1769480366039,GET,/users/412/dashboard,5
1769480366132,GET,/users/871/dashboard,3
1769480366142,GET,/products,363
1769480366166,GET,/recommendations/635,653
1769480366179,GET,/products,342
1769480366216,POST,/checkout,6
1769480366244,GET,/users/47/dashboard,4
1769480366276,GET,/products,356
1769480366321,GET,/recommendations/843,657
1769480366343,GET,/recommendations/553,679
1769480366358,GET,/recommendations/488,656
1769480366381,GET,/products,317
1769480366542,GET,/products,302
1769480366583,GET,/users/203/dashboard,3
1769480366670,POST,/checkout,5
1769480366683,GET,/users/436/dashboard,4
1769480366717,POST,/checkout,4
1769480366756,GET,/recommendations/644,617
1769480366844,GET,/recommendations/783,644
1769480366925,GET,/users/55/dashboard,7
1769480366969,GET,/products,389
1769480366997,GET,/products,388
1769480367017,GET,/products,380
1769480367069,GET,/products,402
1769480367075,GET,/products,408
1769480367119,GET,/products,387
1769480367159,POST,/checkout,4
1769480367185,GET,/users/421/dashboard,4
1769480367193,GET,/products,385
1769480367218,GET,/users/160/dashboard,4
1769480367325,GET,/users/322/dashboard,4
1769480367388,GET,/recommendations/103,721
1769480367421,GET,/recommendations/799,755
1769480367440,GET,/recommendations/965,773
1769480367511,GET,/recommendations/934,738
1769480367588,GET,/recommendations/325,623
1769480367599,GET,/products,314
1769480367674,GET,/users/270/dashboard,5
1769480367678,GET,/users/623/dashboard,9
1769480367680,GET,/products,310
1769480367685,GET,/users/869/dashboard,6
1769480367799,GET,/recommendations/72,556
1769480367852,GET,/recommendations/559,609
1769480367914,GET,/products,290
1769480367961,GET,/products,292
1769480367964,GET,/products,295
1769480368126,POST,/checkout,1
1769480368139,POST,/checkout,2
1769480368150,GET,/products,287
1769480368207,GET,/recommendations/865,539
1769480368366,POST,/checkout,6
1769480368372,GET,/users/566/dashboard,4
1769480368419,GET,/products,306
1769480368421,GET,/products,297
1769480368521,GET,/products,307
1769480368521,GET,/recommendations/666,553
1769480368542,GET,/users/70/dashboard,4
1769480368593,GET,/products,313
1769480368626,GET,/products,312
1769480368657,POST,/checkout,4
