Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,967,0,1100.0,1089.0367194346125,4.2920829728245735,1906.6084169317037,55.34953464322648,5.37899311937768,0.0,1100,1200,1300,1400,1500,1600,1800,1800,1900,1900,1900
GET,/products?search=[term],2928,0,4100.0,3979.6096684216823,290.267082862556,6859.447499969974,2315.9545765027324,16.287168411104286,0.0,4100,4400,4700,4800,5100,5400,5800,6000,6600,6900,6900
GET,/recommendations/[userId],2000,0,12,2095.7396283022827,1.4675420243293047,9238.78279211931,2612.2305,11.1251150349073,0.0,12,2800,4700,5400,6600,7200,7700,7900,9000,9200,9200
GET,/users/[id]/dashboard,1980,0,1100.0,1088.2519521003805,5.07804099470377,2003.8007921539247,39354.39090909091,11.013863884558226,0.0,1100,1200,1300,1300,1500,1700,1700,1800,2000,2000,2000
,Aggregated,7875,0,1500.0,2419.2525382343238,1.4675420243293047,9238.78279211931,11426.132444444444,43.805140449947494,0.0,1500,3600,4100,4400,5100,5800,6800,7300,8200,9200,9200
