Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,996,0,2000.0,1972.9160235392446,6.596500054001808,3888.3915829937905,55.643574297188756,5.5392857629867915,0.0,2000,2200,2300,2300,2400,2600,3100,3500,3900,3900,3900
GET,/products?search=[term],2928,0,5900.0,5749.732207170926,298.3815420884639,9296.283500036225,2315.6342213114754,16.284165375527433,0.0,5900,6300,6500,6700,7100,7500,7900,8200,8900,9300,9300
GET,/recommendations/[userId],1998,0,12,2410.656917010885,1.5213328879326582,10028.05362502113,2604.041041041041,11.111940717316877,0.0,12,3500,5700,6300,7500,8200,8700,9000,9900,10000,10000
GET,/users/[id]/dashboard,2012,0,2000.0,1991.1634930437033,12.453791918233037,3898.3333338983357,47377.23210735586,11.189802163784561,0.0,2000,2200,2300,2300,2500,2700,3000,3400,3900,3900,3900
,Aggregated,7934,0,2400.0,3481.592353192988,1.5213328879326582,10028.05362502113,13531.820393244265,44.12519401961566,0.0,2400,5200,5800,6100,6800,7400,8100,8500,9300,10000,10000
