Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,920,0,3500.0,3396.39453434932,13.080124976113439,5240.675624925643,55.45326086956522,5.12279199042227,0.0,3500,3800,3900,4100,4300,4500,4700,5000,5200,5200,5200
GET,/products?search=[term],2544,0,9100.0,8759.390546330567,525.7174579892308,13047.175666084513,2315.678066037736,14.165633503950279,0.0,9100,9600,9900,10000,11000,11000,12000,12000,13000,13000,13000
GET,/recommendations/[userId],1823,0,18,3408.271199820519,1.5364999417215586,13067.384083056822,2613.446516730664,10.150923694064998,0.0,18,5900,7600,8400,9700,11000,11000,12000,13000,13000,13000
GET,/users/[id]/dashboard,1775,0,3500.0,3406.4276769358507,16.390000004321337,5371.947375126183,52351.758873239436,9.88364759021688,0.0,3500,3800,3900,4000,4300,4600,4900,5100,5300,5400,5400
,Aggregated,7062,0,4200.0,5333.936568295152,1.5364999417215586,13067.384083056822,14674.42466723308,39.32299677865443,0.0,4200,7900,8900,9200,10000,11000,11000,12000,13000,13000,13000
