Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,1034,0,190.0,212.5150978766072,3.826166968792677,751.7561661079526,55.52611218568666,5.753686279069677,0.0,190,280,330,360,440,520,590,640,730,750,750
GET,/products?search=[term],3026,0,2100.0,2103.128993614735,284.97487492859364,4510.295541957021,2314.473892927958,16.83815733120391,0.0,2100,2500,2700,2800,3100,3300,3600,3800,4100,4500,4500
GET,/recommendations/[userId],1980,0,11,1621.1934326341225,1.575541915372014,8068.968708161265,2614.8555555555554,11.017697130133422,0.0,11,1700,3600,4400,5300,5900,6400,6600,7400,8100,8100
GET,/users/[id]/dashboard,1998,0,180.0,200.70352902364647,5.398540990427136,725.6785409990698,35999.75625625626,11.117858013134637,0.0,180,260,320,340,430,500,560,590,690,730,730
,Aggregated,8038,0,460.0,1268.322666519956,1.575541915372014,8068.968708161265,10471.005100771335,44.72739875354164,0.0,460,1700,2200,2500,3200,4300,5600,6100,6900,8100,8100
