Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,1022,0,3200.0,3113.2661706297304,5.136291030794382,5004.533750005066,55.26125244618395,5.690174739728831,0.0,3200,3400,3600,3700,4000,4100,4400,4500,5000,5000,5000
GET,/products?search=[term],2716,0,8400.0,8193.366543355216,323.5121669713408,11766.791875008494,2315.9745949926364,15.121834239827304,0.0,8400,8900,9200,9400,10000,10000,11000,11000,12000,12000,12000
GET,/recommendations/[userId],1798,0,17,3188.0133758978636,1.4626658521592617,12479.1634590365,2607.40489432703,10.010698808250918,0.0,17,5400,7000,7800,9300,10000,11000,11000,12000,12000,12000
GET,/users/[id]/dashboard,1873,0,3200.0,3120.730389671095,7.022083038464189,4854.70962501131,51348.29578216765,10.428275232399315,0.0,3200,3400,3600,3700,4000,4100,4400,4500,4800,4900,4900
,Aggregated,7409,0,3900.0,4995.561833966085,1.4626658521592617,12479.1634590365,14470.257254690241,41.25098302020637,0.0,3900,7400,8200,8600,9400,9900,11000,11000,12000,12000,12000
