Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,991,0,2100.0,2054.1436471997486,4.307208117097616,3300.430583069101,55.479313824419776,5.514992849737336,0.0,2100,2300,2500,2500,2700,2900,3100,3200,3300,3300,3300
GET,/products?search=[term],2848,0,6200.0,6005.009207785912,304.1977088432759,9078.291542129591,2312.945224719101,15.849343729618498,0.0,6200,6600,6900,7100,7500,7800,8200,8400,9000,9100,9100
GET,/recommendations/[userId],1921,0,13,2577.166651991181,1.416333019733429,10583.618707954884,2603.3633524206143,10.690515907513038,0.0,13,4000,5600,6300,7800,8500,9000,9200,11000,11000,11000
GET,/users/[id]/dashboard,1933,0,2100.0,2053.0133114010387,8.466666098684072,3341.927166096866,48452.04190377651,10.757296850194015,0.0,2100,2300,2400,2500,2700,2900,3100,3200,3300,3300,3300
,Aggregated,7693,0,2700.0,3647.0992392515914,1.416333019733429,10583.618707954884,13687.911867931885,42.81214933706289,0.0,2700,5400,6100,6400,7200,7700,8300,8700,9900,11000,11000
