Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,1026,0,130.0,197.37536101860718,2.683750120922923,1167.6852079108357,55.66764132553606,5.707354183447874,0.0,130,250,320,360,470,570,720,810,1100,1200,1200
GET,/products?search=[term],2943,0,2200.0,2110.451221379989,288.89529197476804,4350.246875081211,2314.1420319401973,16.371094894626797,0.0,2200,2500,2700,2900,3200,3400,3700,3900,4200,4400,4400
GET,/recommendations/[userId],2013,0,12,1627.9463330497738,1.3761669397354126,7927.058500004932,2607.7411823149528,11.197762155244222,0.0,12,2000,3500,4200,5300,5800,6400,6600,7200,7900,7900
GET,/users/[id]/dashboard,2091,0,140.0,197.00323610037873,4.5710839331150055,1143.1437081191689,35270.27355332377,11.631654578547277,0.0,140,260,320,360,490,570,680,750,1000,1100,1100
,Aggregated,8073,0,480.0,1251.4003220663305,1.3761669397354126,7927.058500004932,10636.338411990586,44.907865811866166,0.0,480,1700,2200,2500,3300,4200,5500,6000,6900,7900,7900
