Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,1008,0,1100.0,1082.3791153952554,3.050791099667549,2040.7632091082633,55.58829365079365,5.60995824709807,0.0,1100,1200,1300,1300,1500,1700,1800,1900,2000,2000,2000
GET,/products?search=[term],2945,0,4100.0,4012.9313504261695,302.9119579587132,6576.088125118986,2316.6264855687605,16.390205394547436,0.0,4100,4500,4800,4900,5300,5600,5900,6100,6500,6600,6600
GET,/recommendations/[userId],1965,0,11,2024.5821733480325,1.4252911787480116,9439.196084160358,2604.7017811704836,10.936079320979868,0.0,11,2700,4400,5200,6500,7200,7800,8200,9300,9400,9400
GET,/users/[id]/dashboard,1952,0,1100.0,1095.0748868031117,5.8958339504897594,2064.010915812105,42083.33862704918,10.863728668983564,0.0,1100,1200,1300,1400,1600,1700,1900,1900,2000,2100,2100
,Aggregated,7870,0,1600.0,2417.4092916127174,1.4252911787480116,9439.196084160358,11962.314358322745,43.79997163160894,0.0,1600,3500,4100,4400,5100,5800,6800,7400,8600,9400,9400
