Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,158,0,4500.0,4742.089706216644,13.099249918013811,9588.857583003119,55.607594936708864,0.8825052313867547,0.0,4600,6000,7100,7500,8700,9200,9400,9500,9600,9600,9600
GET,/products?search=[term],449,0,570.0,518.5954650829781,13.309832895174623,1028.3834168221802,288306.285077951,2.5078787904598285,0.0,570,610,640,660,720,780,910,930,1000,1000,1000
GET,/recommendations/[userId],280,0,3400.0,2676.963861000591,2.254749881103635,6260.077666956931,2630.807142857143,1.5639333214448818,0.0,3400,3900,4200,4300,5100,5200,5500,5700,6300,6300,6300
GET,/users/[id]/dashboard,191,0,82000.0,81945.00324152244,28056.108250049874,102515.84666594863,34835.59162303665,1.0668259442713302,0.0,82000,86000,89000,91000,95000,98000,101000,102000,103000,103000,103000
,Aggregated,1078,0,840.0,16125.366454188717,2.254749881103635,102515.84666594863,126946.69016697588,6.021143287562795,0.0,840,4000,5400,7700,81000,88000,94000,98000,102000,103000,103000
