Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,157,0,4800.0,5008.488364634845,55.24812499061227,10329.530332935974,55.70063694267516,0.8766023700994648,0.0,4800,6800,7300,8000,8800,9600,9900,10000,10000,10000,10000
GET,/products?search=[term],450,0,600.0,574.5177977801197,31.111666932702065,1194.605041993782,296356.49555555556,2.5125545639793576,0.0,600,640,670,690,770,830,920,990,1200,1200,1200
GET,/recommendations/[userId],318,0,3800.0,2988.2659010805846,2.2677090018987656,6255.081833805889,2635.8993710691825,1.7755385585454129,0.0,3800,4100,4400,4600,4900,5300,5500,5800,6300,6300,6300
GET,/users/[id]/dashboard,178,0,86000.0,84918.811719068,54971.658542053774,114591.83141589165,34794.76404494382,0.9938549164185015,0.0,86000,90000,91000,92000,99000,101000,106000,109000,115000,115000,115000
,Aggregated,1103,0,1200.0,15512.858318029423,2.2677090018987656,114591.83141589165,127289.98368087035,6.1585504090427365,0.0,1200,4100,5100,7100,82000,90000,97000,100000,109000,115000,115000
