Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/checkout,461,0,9800.0,10628.371905387477,32.146249897778034,23384.148166049272,55.286334056399134,2.5647798883125295,0.0,9800,13000,15000,16000,19000,21000,21000,22000,23000,23000,23000
GET,/products?search=[term],1265,0,3800.0,3909.2633192315184,640.8347499091178,6845.872374949977,2316.433201581028,7.037845029751301,0.0,3800,4300,4500,4700,5100,5500,6100,6400,6800,6800,6800
GET,/recommendations/[userId],914,0,5700.0,5632.01429103873,1728.8688330445439,8154.872291954234,2620.043763676149,5.085051665764971,0.0,5700,6000,6200,6300,6600,6900,7400,7500,8200,8200,8200
GET,/users/[id]/dashboard,892,0,4400.0,4429.322616506218,895.4915839713067,6493.493208894506,67659.75784753363,4.962654360899731,0.0,4400,4700,4900,5000,5400,5600,5900,6100,6500,6500,6500
,Aggregated,3532,0,4700.0,5363.395918217575,32.146249897778034,23384.148166049272,18602.208097395243,19.650330944728534,0.0,4700,5300,5700,6000,7000,12000,17000,20000,22000,23000,23000
